,Id,prdtypecode,PAYS_LANGUE,RATIO_LANGUE,ORIGINE_LANGUE,pays_design,Ratio_design,pays_descr,Ratio_descr,design_long,descrip_long,descr_NaN
36,36,2060,en,0.99,Designation,en,0.99,fr,0.99,84,3567.0,False
37,37,1281,fr,0.99,Description,fr,0.85,fr,0.99,97,638.0,False
38,38,1920,fr,0.99,Description,fr,0.85,fr,0.99,66,1287.0,False
39,39,2583,fr,0.99,Designation,fr,0.99,fr,0.99,37,325.0,False
40,40,60,fr,0.99,Designation,fr,0.99,fr,0.99,134,156.0,False
41,41,1180,fr,0.57,Designation,fr,0.57,,,34,,True
42,42,2522,fr,0.99,Description,fr,0.94,fr,0.99,55,239.0,False
43,43,1281,fr,0.99,Designation,fr,0.99,fr,0.99,84,1282.0,False
44,44,2280,fr,0.99,Designation,fr,0.99,,,94,,True
45,45,1920,fr,0.99,Designation,fr,0.99,fr,0.99,68,415.0,False
46,46,10,fr,0.99,Designation,fr,0.99,,,58,,True
47,47,40,en,0.71,Designation,en,0.71,,,44,,True
48,48,1160,de,0.71,Designation,de,0.71,,,40,,True
49,49,1280,en,0.99,Designation,en,0.99,fr,0.99,92,947.0,False
50,50,40,ro,0.99,Designation,ro,0.99,,,22,,True
51,51,2403,en,0.69,Designation,en,0.69,,,38,,True
52,52,1281,fr,0.99,Designation,fr,0.99,,,19,,True
53,53,2583,fr,0.99,Designation,fr,0.99,fr,0.99,26,541.0,False
54,54,2403,en,0.99,Designation,en,0.99,,,35,,True
55,55,1280,fr,0.99,Designation,fr,0.99,fr,0.99,77,1677.0,False
56,56,2705,fr,0.99,Description,de,0.71,fr,0.99,35,765.0,False
57,57,2403,fr,0.99,Designation,fr,0.99,,,31,,True
58,58,2583,ro,0.57,Designation,ro,0.57,,,33,,True
59,59,1300,fr,0.99,Designation,fr,0.99,fr,0.99,101,935.0,False
60,60,1280,fr,0.99,Designation,fr,0.99,fr,0.99,137,1025.0,False
61,61,2403,fr,0.99,Designation,fr,0.99,,,69,,True
62,62,1320,fr,0.99,Designation,fr,0.99,fr,0.99,103,3581.0,False
63,63,1300,fr,0.99,Designation,fr,0.99,,,102,,True
64,64,2583,fr,0.99,Description,pt,0.57,fr,0.99,48,108.0,False
65,65,2583,fr,0.99,Designation,fr,0.99,fr,0.99,60,157.0,False
66,66,1140,fr,0.99,Designation,fr,0.99,,,22,,True
67,67,2060,fr,0.99,Description,en,0.85,fr,0.99,90,1007.0,False
68,68,2280,fr,0.99,Designation,fr,0.99,fr,0.99,48,956.0,False
69,69,2403,fr,0.85,Designation,fr,0.85,,,37,,True
70,70,2583,fr,0.99,Designation,fr,0.99,fr,0.99,64,1086.0,False
71,71,2462,fr,0.99,Designation,fr,0.99,,,39,,True
72,72,1140,fr,0.99,Description,en,0.71,fr,0.99,40,60.0,False
73,73,2582,ca,0.99,Designation,ca,0.99,fr,0.85,45,447.0,False
74,74,2403,nl,0.57,Designation,nl,0.57,,,100,,True
75,75,2280,fr,0.99,Designation,fr,0.99,,,20,,True
76,76,1302,en,0.99,Designation,en,0.99,fr,0.99,84,1315.0,False
77,77,2060,fr,0.99,Designation,fr,0.99,,,68,,True
78,78,1560,fr,0.99,Designation,fr,0.99,fr,0.99,131,1195.0,False
79,79,1302,fr,0.99,Description,fr,0.57,fr,0.99,83,852.0,False
80,80,50,fr,0.99,Designation,fr,0.99,fr,0.99,80,3019.0,False
81,81,1300,en,0.99,Description,en,0.71,en,0.99,120,843.0,False
82,82,2220,fr,0.99,Designation,fr,0.99,fr,0.99,30,495.0,False
83,83,2060,en,0.99,Designation,en,0.99,fr,0.99,88,792.0,False
84,84,2583,fr,0.99,Description,fr,0.71,fr,0.99,50,542.0,False
85,85,1560,fr,0.99,Description,en,0.71,fr,0.99,79,493.0,False
86,86,2462,fr,0.99,Designation,fr,0.99,,,61,,True
87,87,1560,fr,0.99,Description,fr,0.85,fr,0.99,122,310.0,False
88,88,1280,en,0.99,Designation,en,0.99,en,0.99,37,60.0,False
89,89,2522,fr,0.99,Description,fr,0.85,fr,0.99,73,102.0,False
90,90,2583,fr,0.99,Designation,fr,0.99,ca,0.85,72,59.0,False
91,91,2583,fr,0.99,Designation,fr,0.99,fr,0.99,62,861.0,False
92,92,1920,en,0.99,Designation,en,0.99,,,82,,True
93,93,1280,fr,0.99,Designation,fr,0.99,,,74,,True
94,94,2522,nl,0.57,Designation,nl,0.57,,,63,,True
95,95,1560,fr,0.99,Description,fr,0.71,fr,0.99,99,1410.0,False
96,96,2403,en,0.85,Designation,en,0.85,,,182,,True
97,97,2522,fr,0.99,Designation,fr,0.99,fr,0.99,162,228.0,False
98,98,1140,en,0.99,Designation,en,0.99,,,55,,True
99,99,2060,fr,0.99,Designation,fr,0.99,fr,0.99,89,751.0,False
100,100,2582,fr,0.99,Designation,fr,0.99,fr,0.99,65,94.0,False
101,101,40,fr,0.99,Description,en,0.71,fr,0.99,44,292.0,False
102,102,2280,es,0.99,Designation,es,0.99,,,92,,True
103,103,1920,fr,0.99,Designation,fr,0.99,fr,0.99,100,501.0,False
104,104,1300,fr,0.99,Designation,fr,0.99,,,84,,True
105,105,1300,fr,0.99,Designation,fr,0.99,fr,0.99,109,70.0,False
106,106,1180,fr,0.71,Designation,fr,0.71,,,63,,True
107,107,40,fr,0.99,Description,en,0.71,fr,0.99,66,292.0,False
108,108,2583,fr,0.99,Designation,fr,0.99,fr,0.99,83,1194.0,False
109,109,1160,en,0.85,Designation,en,0.85,,,54,,True
110,110,1140,de,0.99,Designation,de,0.99,,,76,,True
111,111,2705,fr,0.99,Designation,fr,0.99,,,103,,True
112,112,2280,en,0.99,Designation,en,0.99,,,32,,True
113,113,2403,fr,0.99,Designation,fr,0.99,,,70,,True
114,114,1302,en,0.99,Designation,en,0.99,en,0.99,72,654.0,False
115,115,1160,fr,0.57,Designation,fr,0.57,,,60,,True
116,116,2583,fr,0.99,Description,fr,0.71,fr,0.99,49,703.0,False
117,117,2583,en,0.71,Designation,en,0.71,,,43,,True
118,118,2583,fr,0.99,Designation,fr,0.99,fr,0.99,93,1853.0,False
119,119,1560,fr,0.99,Description,nl,0.58,fr,0.99,72,411.0,False
120,120,1302,fr,0.99,Description,en,0.85,fr,0.99,42,1189.0,False
121,121,2060,fr,0.99,Description,nl,0.71,fr,0.99,91,890.0,False
122,122,2403,nl,0.99,Designation,nl,0.99,,,31,,True
123,123,2060,fr,0.99,Designation,fr,0.99,fr,0.99,81,1137.0,False
124,124,1320,fr,0.99,Designation,fr,0.99,,,28,,True
125,125,1302,fr,0.99,Designation,fr,0.99,fr,0.99,89,987.0,False
126,126,1140,fr,0.99,Description,en,0.71,fr,0.99,48,73.0,False
127,127,2280,en,0.85,Designation,en,0.85,,,41,,True
128,128,1280,en,0.99,Designation,en,0.99,,,33,,True
129,129,2280,fr,0.99,Designation,fr,0.99,,,185,,True
130,130,2583,en,0.99,Designation,en,0.99,,,46,,True
131,131,10,de,0.99,Designation,de,0.99,,,47,,True
132,132,1560,fr,0.99,Description,en,0.57,fr,0.99,95,597.0,False
133,133,1560,fr,0.99,Description,fr,0.42,fr,0.99,152,438.0,False
134,134,1300,fr,0.99,Description,ro,0.85,fr,0.99,57,31.0,False
135,135,1281,en,0.99,Designation,en,0.99,fr,0.99,80,1473.0,False
136,136,1280,en,0.71,Designation,en,0.71,,,18,,True
137,137,2280,fr,0.57,Designation,fr,0.57,,,81,,True
138,138,1320,fr,0.99,Designation,fr,0.99,,,186,,True
139,139,2583,en,0.99,Designation,en,0.99,fr,0.99,50,124.0,False
140,140,1300,fr,0.99,Designation,fr,0.99,fr,0.99,107,1216.0,False
141,141,2705,fr,0.99,Designation,fr,0.99,,,72,,True
142,142,40,fr,0.99,Designation,fr,0.99,,,38,,True
143,143,1320,de,0.71,Designation,de,0.71,,,28,,True
144,144,2705,fr,0.99,Designation,fr,0.99,,,52,,True
145,145,2583,en,0.99,Designation,en,0.99,fr,0.99,35,135.0,False
146,146,1300,fr,0.99,Designation,fr,0.99,fr,0.99,116,982.0,False
147,147,1280,fr,0.99,Designation,fr,0.99,fr,0.99,97,1026.0,False
148,148,2905,fr,0.99,Designation,fr,0.99,fr,0.99,59,1600.0,False
149,149,2522,fr,0.99,Designation,fr,0.99,fr,0.99,56,223.0,False
150,150,2705,fr,0.71,Designation,fr,0.71,,,37,,True
151,151,1280,fr,0.99,Description,fr,0.85,fr,0.99,119,202.0,False
152,152,2583,en,0.99,Designation,en,0.99,fr,0.99,37,371.0,False
153,153,1300,fr,0.99,Description,en,0.57,fr,0.99,43,215.0,False
154,154,1180,fr,0.99,Designation,fr,0.99,,,48,,True
155,155,1160,en,0.99,Designation,en,0.99,,,68,,True
156,156,2403,fr,0.85,Designation,fr,0.85,,,52,,True
157,157,1920,en,0.99,Designation,en,0.99,fr,0.99,86,695.0,False
158,158,1560,en,0.99,Designation,en,0.99,en,0.99,102,2294.0,False
159,159,2522,fr,0.99,Designation,fr,0.99,,,167,,True
160,160,1140,en,0.99,Designation,en,0.99,fr,0.99,76,39.0,False
161,161,2403,fr,0.99,Designation,fr,0.99,,,107,,True
162,162,2585,fr,0.99,Designation,fr,0.99,fr,0.99,39,197.0,False
163,163,50,de,0.85,Designation,de,0.85,,,45,,True
164,164,2705,fr,0.99,Designation,fr,0.99,fr,0.99,46,360.0,False
165,165,50,en,0.99,Designation,en,0.99,,,85,,True
166,166,2280,fr,0.99,Designation,fr,0.99,,,19,,True
167,167,2583,fr,0.99,Description,en,0.57,fr,0.99,45,2050.0,False
168,168,2060,fr,0.99,Designation,fr,0.99,,,43,,True
169,169,2280,fr,0.99,Designation,fr,0.99,,,250,,True
170,170,1560,fr,0.99,Description,fr,0.71,fr,0.99,121,435.0,False
171,171,2583,fr,0.99,Designation,fr,0.99,fr,0.99,85,475.0,False
172,172,1280,fr,0.99,Description,fr,0.85,fr,0.99,85,475.0,False
173,173,2280,fr,0.99,Designation,fr,0.99,,,34,,True
174,174,2583,fr,0.99,Description,de,0.71,fr,0.99,38,155.0,False
175,175,2060,fr,0.99,Description,fr,0.85,fr,0.99,119,671.0,False
176,176,2585,fr,0.99,Designation,fr,0.99,fr,0.99,60,2427.0,False
177,177,1920,fr,0.99,Designation,fr,0.99,fr,0.99,72,1041.0,False
178,178,2583,fr,0.99,Description,en,0.42,fr,0.99,49,184.0,False
179,179,1160,fr,0.85,Designation,fr,0.85,,,28,,True
180,180,60,fr,0.99,Designation,fr,0.99,fr,0.99,108,309.0,False
181,181,1300,fr,0.99,Designation,fr,0.99,fr,0.99,101,856.0,False
182,182,1560,fr,0.99,Designation,fr,0.99,fr,0.99,60,849.0,False
183,183,2060,fr,0.99,Description,en,0.85,fr,0.99,77,2229.0,False
184,184,2583,fr,0.99,Description,fr,0.85,fr,0.99,57,57.0,False
185,185,1302,en,0.99,Designation,en,0.99,fr,0.99,38,285.0,False
186,186,2280,fr,0.74,Designation,fr,0.74,,,44,,True
187,187,2060,fr,0.99,Designation,fr,0.99,fr,0.99,97,711.0,False
188,188,10,es,0.99,Designation,es,0.99,,,20,,True
189,189,2403,fr,0.99,Designation,fr,0.99,,,49,,True
190,190,2060,fr,0.99,Designation,fr,0.99,fr,0.99,126,187.0,False
191,191,1320,fr,0.99,Designation,fr,0.99,,,30,,True
192,192,2403,fr,0.85,Designation,fr,0.85,,,85,,True
193,193,2403,fr,0.99,Designation,fr,0.99,,,33,,True
194,194,1560,fr,0.99,Description,en,0.71,fr,0.99,68,1214.0,False
195,195,40,en,0.99,Designation,en,0.99,,,32,,True
196,196,1140,fr,0.99,Designation,fr,0.99,fr,0.99,55,125.0,False
197,197,2705,fr,0.99,Designation,fr,0.99,,,52,,True
198,198,2522,fr,0.99,Description,nl,0.42,fr,0.99,50,392.0,False
199,199,1300,fr,0.99,Designation,fr,0.99,fr,0.99,99,828.0,False
200,200,1940,fr,0.99,Description,nl,0.85,fr,0.99,73,560.0,False
201,201,2583,fr,0.99,Designation,fr,0.99,fr,0.99,78,243.0,False
202,202,1280,en,0.99,Designation,en,0.99,en,0.99,29,599.0,False
203,203,1940,pt,0.71,Designation,pt,0.71,pt,0.71,66,63.0,False
204,204,40,fr,0.99,Designation,fr,0.99,fr,0.99,80,809.0,False
205,205,1920,fr,0.99,Description,fr,0.85,fr,0.99,78,925.0,False
206,206,2583,fr,0.99,Designation,fr,0.99,fr,0.99,51,119.0,False
207,207,50,en,0.99,Designation,en,0.99,fr,0.99,56,128.0,False
208,208,2583,fr,0.99,Designation,fr,0.99,fr,0.99,33,700.0,False
209,209,1280,fr,0.99,Description,fr,0.57,fr,0.99,108,1887.0,False
210,210,2522,en,0.99,Description,en,0.71,en,0.99,66,38.0,False
211,211,50,ro,0.57,Designation,ro,0.57,,,23,,True
212,212,2060,fr,0.99,Description,fr,0.71,fr,0.99,91,631.0,False
213,213,2060,fr,0.99,Description,fr,0.85,fr,0.99,98,362.0,False
214,214,1280,en,0.99,Designation,en,0.99,en,0.99,79,375.0,False
215,215,1280,fr,0.99,Designation,fr,0.99,,,36,,True
216,216,2060,fr,0.99,Designation,fr,0.99,fr,0.99,97,418.0,False
217,217,2705,fr,0.99,Designation,fr,0.99,fr,0.99,26,982.0,False
218,218,2583,fr,0.99,Description,fr,0.85,fr,0.99,30,304.0,False
219,219,1300,en,0.99,Description,nl,0.85,en,0.99,67,332.0,False
220,220,1560,fr,0.99,Designation,fr,0.99,fr,0.99,124,641.0,False
221,221,2705,fr,0.99,Designation,fr,0.99,fr,0.99,23,917.0,False
222,222,2280,en,0.99,Description,fr,0.57,en,0.99,27,203.0,False
223,223,1560,fr,0.99,Description,en,0.71,fr,0.99,85,2641.0,False
224,224,2583,fr,0.99,Designation,fr,0.99,fr,0.99,44,863.0,False
225,225,1160,en,0.99,Designation,en,0.99,,,44,,True
226,226,1920,fr,0.99,Designation,fr,0.99,fr,0.99,79,771.0,False
227,227,1300,es,0.99,Designation,es,0.99,,,36,,True
228,228,1160,en,0.99,Designation,en,0.99,,,31,,True
229,229,1281,en,0.99,Description,en,0.85,en,0.99,127,914.0,False
230,230,1320,fr,0.99,Description,fr,0.85,fr,0.99,48,33.0,False
231,231,2522,en,0.99,Designation,en,0.99,fr,0.99,51,158.0,False
232,232,2280,fr,0.99,Designation,fr,0.99,,,59,,True
233,233,2280,it,0.99,Designation,it,0.99,,,45,,True
234,234,2583,fr,0.99,Description,ca,0.57,fr,0.99,44,93.0,False
235,235,1300,fr,0.99,Designation,fr,0.99,fr,0.99,103,477.0,False
236,236,2403,en,0.99,Designation,en,0.99,,,58,,True
237,237,1300,en,0.99,Description,fr,0.57,en,0.99,105,662.0,False
238,238,2462,fr,0.99,Designation,fr,0.99,,,73,,True
239,239,1920,fr,0.99,Description,fr,0.85,fr,0.99,61,784.0,False
240,240,1160,nl,0.99,Designation,nl,0.99,pl,0.99,45,5.0,False
241,241,2583,en,0.99,Designation,en,0.99,fr,0.99,54,1214.0,False
242,242,2583,fr,0.99,Designation,fr,0.99,fr,0.99,81,981.0,False
243,243,2522,fr,0.99,Designation,fr,0.99,,,45,,True
244,244,2705,fr,0.99,Designation,fr,0.99,,,27,,True
245,245,1320,nl,0.71,Designation,nl,0.71,,,40,,True
246,246,1302,fr,0.99,Description,en,0.57,fr,0.99,45,174.0,False
247,247,10,en,0.99,Designation,en,0.99,,,84,,True
248,248,2583,fr,0.99,Description,fr,0.85,fr,0.99,46,167.0,False
249,249,2582,fr,0.99,Designation,fr,0.99,fr,0.99,111,226.0,False
250,250,1920,fr,0.99,Designation,fr,0.99,fr,0.99,90,841.0,False
251,251,1560,fr,0.99,Designation,fr,0.99,fr,0.99,58,1843.0,False
252,252,40,en,0.99,Designation,en,0.99,,,29,,True
253,253,1920,en,0.99,Designation,en,0.99,fr,0.99,84,824.0,False
254,254,2522,fr,0.99,Designation,fr,0.99,fr,0.99,99,1406.0,False
255,255,2403,fr,0.99,Designation,fr,0.99,,,56,,True
256,256,1920,en,0.99,Designation,en,0.99,fr,0.99,98,879.0,False
257,257,1301,fr,0.99,Designation,fr,0.99,fr,0.99,100,804.0,False
258,258,10,fr,0.99,Designation,fr,0.99,,,48,,True
259,259,10,fr,0.99,Designation,fr,0.99,,,35,,True
260,260,2060,fr,0.99,Description,en,0.57,fr,0.99,96,1485.0,False
261,261,1920,fr,0.99,Description,en,0.85,fr,0.99,65,2449.0,False
262,262,2705,de,0.99,Designation,de,0.99,fr,0.99,14,825.0,False
263,263,1560,fr,0.99,Designation,fr,0.99,fr,0.99,97,267.0,False
264,264,2583,fr,0.99,Designation,fr,0.99,fr,0.99,30,89.0,False
265,265,2583,fr,0.99,Designation,fr,0.99,fr,0.99,48,1049.0,False
266,266,2582,en,0.99,Designation,en,0.99,fr,0.99,34,427.0,False
267,267,1300,fr,0.57,Designation,fr,0.57,,,37,,True
268,268,1920,fr,0.99,Description,fr,0.85,fr,0.99,82,1050.0,False
269,269,1302,fr,0.99,Description,fr,0.85,fr,0.99,106,1089.0,False
270,270,60,fr,0.99,Designation,fr,0.99,fr,0.99,122,192.0,False
271,271,1560,en,0.99,Designation,en,0.99,en,0.99,87,955.0,False
272,272,2585,fr,0.99,Designation,fr,0.99,,,51,,True
273,273,1560,en,0.99,Designation,en,0.99,fr,0.99,78,1530.0,False
274,274,1300,fr,0.99,Description,fr,0.71,fr,0.99,90,648.0,False
275,275,2585,fr,0.99,Designation,fr,0.99,fr,0.99,86,7307.0,False
276,276,1140,fr,0.99,Designation,fr,0.99,,,29,,True
277,277,1300,de,0.85,Designation,de,0.85,,,42,,True
278,278,2522,fr,0.99,Description,fr,0.85,fr,0.99,73,136.0,False
279,279,1281,en,0.99,Designation,en,0.99,,,28,,True
280,280,1280,fr,0.99,Designation,fr,0.99,fr,0.99,93,786.0,False
281,281,2582,fr,0.99,Designation,fr,0.99,fr,0.99,47,1607.0,False
282,282,40,en,0.99,Designation,en,0.99,,,30,,True
283,283,2403,fr,0.99,Designation,fr,0.99,,,63,,True
284,284,2522,et,0.99,Designation,et,0.99,fr,0.99,36,420.0,False
285,285,2280,en,0.99,Designation,en,0.99,tl,0.71,70,392.0,False
286,286,2403,en,0.85,Designation,en,0.85,,,61,,True
287,287,2905,fr,0.99,Description,en,0.85,fr,0.99,51,1279.0,False
288,288,1160,en,0.99,Designation,en,0.99,,,75,,True
289,289,1301,fr,0.99,Designation,fr,0.99,fr,0.99,60,85.0,False
290,290,1320,fr,0.99,Designation,fr,0.99,fr,0.99,95,1141.0,False
291,291,2403,fr,0.85,Designation,fr,0.85,,,27,,True
292,292,1140,pt,0.42,Designation,pt,0.42,,,55,,True
293,293,1300,fr,0.99,Description,fr,0.85,fr,0.99,117,83.0,False
294,294,1302,fr,0.99,Designation,fr,0.99,fr,0.99,79,1095.0,False
295,295,1302,fr,0.99,Designation,fr,0.99,fr,0.99,78,961.0,False
296,296,2583,fr,0.99,Designation,fr,0.99,fr,0.99,47,451.0,False
297,297,2522,fr,0.99,Description,fr,0.71,fr,0.99,55,39.0,False
298,298,2403,fr,0.99,Designation,fr,0.99,,,39,,True
299,299,60,fr,0.99,Designation,fr,0.99,fr,0.99,140,321.0,False
300,300,10,en,0.99,Designation,en,0.99,,,25,,True
301,301,2582,fr,0.99,Designation,fr,0.99,fr,0.99,81,2252.0,False
302,302,2582,en,0.99,Designation,en,0.99,en,0.99,77,700.0,False
303,303,1560,fr,0.99,Designation,fr,0.99,fr,0.99,104,716.0,False
304,304,1140,de,0.57,Designation,de,0.57,fr,0.85,41,56.0,False
305,305,1560,fr,0.99,Description,en,0.71,fr,0.99,108,2337.0,False
306,306,1281,fr,0.99,Description,fr,0.57,fr,0.99,76,507.0,False
307,307,1920,fr,0.99,Designation,fr,0.99,fr,0.99,121,1629.0,False
308,308,2522,ca,0.85,Designation,ca,0.85,,,61,,True
309,309,1920,fr,0.99,Description,fr,0.71,fr,0.99,90,975.0,False
310,310,1160,fr,0.99,Designation,fr,0.99,,,60,,True
311,311,2060,fr,0.99,Description,en,0.85,fr,0.99,105,936.0,False
312,312,2583,fr,0.99,Designation,fr,0.99,fr,0.99,115,369.0,False
313,313,2522,fr,0.85,Designation,fr,0.85,,,50,,True
314,314,1320,fr,0.99,Designation,fr,0.99,,,43,,True
315,315,1300,fr,0.99,Designation,fr,0.99,fr,0.99,93,982.0,False
316,316,2583,fr,0.99,Designation,fr,0.99,,,51,,True
317,317,2583,fr,0.99,Designation,fr,0.99,fr,0.99,40,91.0,False
318,318,2280,de,0.99,Designation,de,0.99,,,57,,True
319,319,2583,fr,0.99,Designation,fr,0.99,fr,0.99,53,1384.0,False
320,320,2220,fr,0.99,Description,fr,0.85,fr,0.99,69,2610.0,False
321,321,1320,fr,0.99,Designation,fr,0.99,fr,0.99,82,1013.0,False
322,322,2705,en,0.85,Designation,en,0.85,,,26,,True
323,323,2060,fr,0.99,Designation,fr,0.99,fr,0.99,79,3549.0,False
324,324,2462,en,0.99,Designation,en,0.99,,,101,,True
325,325,2280,fr,0.99,Designation,fr,0.99,,,17,,True
326,326,2583,fr,0.99,Designation,fr,0.99,,,43,,True
327,327,1280,en,0.85,Designation,en,0.85,,,50,,True
328,328,2583,fr,0.99,Designation,fr,0.99,fr,0.99,55,574.0,False
329,329,1320,fr,0.99,Designation,fr,0.99,fr,0.99,51,769.0,False
330,330,1281,en,0.99,Designation,en,0.99,en,0.99,17,220.0,False
331,331,1280,de,0.69,Designation,de,0.69,en,0.71,42,56.0,False
332,332,40,fr,0.99,Designation,fr,0.99,fr,0.99,104,616.0,False
333,333,1280,en,0.99,Designation,en,0.99,fr,0.99,66,117.0,False
334,334,1300,fr,0.99,Designation,fr,0.99,,,100,,True
335,335,10,en,0.99,Designation,en,0.99,,,33,,True
336,336,1560,en,0.99,Designation,en,0.99,fr,0.99,66,262.0,False
337,337,2060,fr,0.99,Description,fr,0.85,fr,0.99,70,451.0,False
338,338,2220,fr,0.99,Description,en,0.85,fr,0.99,78,1538.0,False
339,339,2585,en,0.99,Designation,en,0.99,,,43,,True
340,340,2060,fr,0.99,Designation,fr,0.99,fr,0.99,28,372.0,False
341,341,50,fr,0.99,Designation,fr,0.99,fr,0.99,88,638.0,False
342,342,2582,en,0.99,Designation,en,0.99,fr,0.99,69,628.0,False
343,343,2583,fr,0.99,Designation,fr,0.99,fr,0.99,49,565.0,False
344,344,2583,fr,0.99,Designation,fr,0.99,fr,0.99,42,325.0,False
345,345,2060,fr,0.99,Description,ro,0.85,fr,0.99,57,748.0,False
346,346,40,en,0.99,Designation,en,0.99,fr,0.99,89,292.0,False
347,347,1140,id,0.99,Designation,id,0.99,,,49,,True
348,348,1300,fr,0.99,Designation,fr,0.99,en,0.99,124,998.0,False
349,349,1280,en,0.99,Description,en,0.85,en,0.99,42,1283.0,False
350,350,1920,fr,0.99,Designation,fr,0.99,fr,0.99,91,1288.0,False
351,351,1300,fr,0.85,Designation,fr,0.85,,,91,,True
352,352,2585,fr,0.99,Designation,fr,0.99,fr,0.99,79,2202.0,False
353,353,2403,fr,0.99,Designation,fr,0.99,,,87,,True
354,354,2220,fr,0.99,Description,de,0.85,fr,0.99,34,890.0,False
355,355,2220,fr,0.99,Description,en,0.87,fr,0.99,39,419.0,False
356,356,1281,en,0.99,Designation,en,0.99,fr,0.99,91,1066.0,False
357,357,2583,fr,0.99,Designation,fr,0.99,fr,0.99,32,904.0,False
358,358,1300,fr,0.99,Designation,fr,0.99,fr,0.99,98,772.0,False
359,359,2522,fr,0.99,Designation,fr,0.99,fr,0.99,144,219.0,False
360,360,1300,fr,0.99,Designation,fr,0.99,fr,0.99,125,1654.0,False
361,361,1280,fr,0.99,Description,fr,0.85,fr,0.99,98,1212.0,False
362,362,1140,en,0.99,Designation,en,0.99,fr,0.99,21,95.0,False
363,363,2705,fr,0.99,Designation,fr,0.99,,,24,,True
364,364,1140,en,0.85,Designation,en,0.85,,,28,,True
365,365,2522,fr,0.99,Designation,fr,0.99,fr,0.99,129,219.0,False
366,366,2462,en,0.99,Designation,en,0.99,,,184,,True
367,367,1281,nl,0.99,Designation,nl,0.99,fr,0.99,31,177.0,False
368,368,1920,fr,0.99,Description,en,0.85,fr,0.99,77,923.0,False
369,369,2522,fr,0.99,Designation,fr,0.99,,,39,,True
370,370,1140,en,0.57,Designation,en,0.57,en,0.71,50,151.0,False
371,371,1302,fr,0.99,Designation,fr,0.99,fr,0.99,83,953.0,False
372,372,10,nl,0.99,Designation,nl,0.99,,,68,,True
373,373,2280,en,0.71,Designation,en,0.71,,,61,,True
374,374,2403,fr,0.85,Designation,fr,0.85,,,57,,True
375,375,60,fr,0.99,Designation,fr,0.99,fr,0.99,124,203.0,False
376,376,1920,fr,0.99,Description,fr,0.85,fr,0.99,80,563.0,False
377,377,1560,en,0.99,Designation,en,0.99,fr,0.99,72,564.0,False
378,378,2583,fr,0.99,Description,fr,0.85,fr,0.99,31,281.0,False
379,379,1920,fr,0.99,Description,fr,0.85,fr,0.99,66,717.0,False
380,380,2280,fr,0.99,Designation,fr,0.99,,,86,,True
381,381,1300,fr,0.99,Designation,fr,0.99,en,0.99,99,538.0,False
